1 qid:0 1:0.0909090909091 2:296 3:17988 4:2.53383236184 # 0_intelligent
4 qid:0 1:0.166666666667 2:660 3:31551 4:4.0990997176 # 0_bright
2 qid:0 1:0.166666666667 2:154 3:5996 4:1.60247797711 # 0_clever
3 qid:0 1:0.2 2:324 3:19276 4:3.0793005498 # 0_smart
3 qid:1 1:0.2 2:4759 3:245990 4:5.62922280884 # 1_light
2 qid:1 1:0.166666666667 2:660 3:31551 4:4.76631365293 # 1_bright
4 qid:1 1:0.125 2:68 3:2437 4:1.54785908252 # 1_luminous
1 qid:1 1:0.2 2:1312 3:101137 4:6.53926803053 # 1_clear
3 qid:1 1:0.125 2:0 3:0 4:-1.45937454359 # 1_well-lit
4 qid:2 1:0.125 2:68 3:2437 4:2.07107026797 # 2_luminous
2 qid:2 1:0.166666666667 2:660 3:31551 4:5.98858467246 # 2_bright
1 qid:2 1:0.111111111111 2:83 3:5136 4:1.82002994701 # 2_colourful
3 qid:2 1:0.111111111111 2:143 3:15129 4:4.07589579757 # 2_brilliant
4 qid:2 1:0.2 2:3 3:251 4:0.183295407797 # 2_gleam
1 qid:3 1:0.0909090909091 2:296 3:17988 4:1.15664803941 # 3_intelligent
2 qid:3 1:0.166666666667 2:154 3:5996 4:0.668150897635 # 3_clever
3 qid:3 1:0.166666666667 2:660 3:31551 4:1.82305947118 # 3_bright
3 qid:4 1:0.111111111111 2:67 3:12191 4:5.68793089831 # 4_motivated
5 qid:4 1:0.166666666667 2:660 3:31551 4:5.77196731799 # 4_bright
1 qid:4 1:0.142857142857 2:300 3:52057 4:6.52660720728 # 4_capable
6 qid:4 1:0.166666666667 2:154 3:5996 4:2.43355232696 # 4_clever
8 qid:4 1:0.111111111111 2:78 3:16377 4:7.8347752642 # 4_promising
4 qid:4 1:0.0909090909091 2:296 3:17988 4:4.30276332226 # 4_intelligent
7 qid:4 1:0.2 2:613 3:31722 4:6.24756300591 # 4_sharp
2 qid:4 1:0.111111111111 2:0 3:0 4:0 # 4_most able
7 qid:5 1:0.0769230769231 2:0 3:0 4:2.77989394878 # 5_up-and-coming
6 qid:5 1:0.166666666667 2:84 3:11472 4:5.77974005183 # 5_gifted
1 qid:5 1:0.125 2:145 3:16233 4:7.54680969278 # 5_talented
3 qid:5 1:0.166666666667 2:660 3:31551 4:7.3818288464 # 5_bright
4 qid:5 1:0.142857142857 2:180 3:16713 4:4.74052152248 # 5_skilled
2 qid:5 1:0.0769230769231 2:0 3:0 4:0 # 5_most talented
5 qid:5 1:0.111111111111 2:78 3:16377 4:7.51133186684 # 5_promising
5 qid:6 1:0.1 2:29 3:3864 4:8.50285773061 # 6_optimistic
3 qid:6 1:0.142857142857 2:19 3:2445 4:7.32367114918 # 6_hopeful
